|Thu Dec 11 16:51:15 +0000 2014|;|0|;|AT_USER qnd vc toma coca cola vc n arrota eu arroto e mtt kk|
|Thu Dec 11 16:51:09 +0000 2014|;|0|;|coca cola já treme com o sucesso do guaraviton hahsuahauaa 😂 ffc sempree|
|Thu Dec 11 16:51:05 +0000 2014|;|0|;|se eu nunca mais receber presentes de natal e souber que sempre terei sua amizadeisso valerá por todos os natais - URL|
|Thu Dec 11 16:50:28 +0000 2014|;|0|;|até os grandes tropeçam case da coca cola mostra a importância da definição do público alvo URL via AT_USER|
|Thu Dec 11 16:50:13 +0000 2014|;|0|;|AT_USER kk vocês são muito incoerentes quem é a coca cola pra citar atividade física|
|Thu Dec 11 16:49:58 +0000 2014|;|2|;|rt AT_USER ola eu quero uma coca cola sem picles por favor anotadoaqui esta seu picles|
|Thu Dec 11 16:48:49 +0000 2014|;|0|;|AT_USER te amo te amo te amo mas você não me da bola vou me afogar num copinho de coca cola|
|Thu Dec 11 16:48:35 +0000 2014|;|0|;|amoo a pretinhaa  coca-cola  🍷🍷|
|Thu Dec 11 16:48:31 +0000 2014|;|0|;|se nós tratassemos as pessoas como elas merecem o mundo seria um lugar melhor sem pessoas que se a acham coca cola mas são toddy|
|Thu Dec 11 16:48:30 +0000 2014|;|0|;|coca cola postando foto do nx zero assim fica difícil não querer tomar coca|
|Thu Dec 11 16:47:57 +0000 2014|;|2|;|ola eu quero uma coca cola sem picles por favor anotadoaqui esta seu picles|
|Thu Dec 11 16:47:37 +0000 2014|;|0|;|que vontade de comer uma bomba com um copo de coca-cola bem gelado|
|Thu Dec 11 16:47:27 +0000 2014|;|2|;|rt AT_USER socorro felipe dylon no video show ate cuspi minha coca cola|
|Thu Dec 11 16:46:53 +0000 2014|;|104|;|rt AT_USER incrivel veja o efeito da coca cola em seu orgasnismo URL URL|
|Thu Dec 11 16:45:48 +0000 2014|;|65|;|rt AT_USER cd novo em clima de praia e outras cositas más com os caras do AT_USER cola na nossa URL http…|
