|Tue Dec 23 14:57:33 +0000 2014|;|0|;|momentostiomork nas eleições foi a época de + tretas na tl todo mundo se amostro qm realmente são uns mais inteligente indo contra a dilma|
|Tue Dec 23 14:47:28 +0000 2014|;|0|;|eleições de 2014 garantiram - blog dilma rousseff  facebook (URL|
|Tue Dec 23 14:32:29 +0000 2014|;|0|;|palavras mais ouvidas em 2014 calor seca copa alemanha eleições aécio dilma escândalo petrobras maria eu sei que você treme|
|Tue Dec 23 14:31:17 +0000 2014|;|0|;|derrotado nas eleições para governo do estado requião agora da uma de consultor sugerindo a dilma a fazer o URL|
|Tue Dec 23 14:02:24 +0000 2014|;|0|;|categoria eleições jornal ggn - o senador aécio neves (psdb) voltou a criticar os invesimentos brasileiros via URL|
|Tue Dec 23 14:00:33 +0000 2014|;|1|;|rt AT_USER desde o fim das eleições a única coisa que eu vejo o senador aécio fazer é falar mal da presidente dilma|
|Tue Dec 23 14:00:03 +0000 2014|;|1|;|desde o fim das eleições a única coisa que eu vejo o senador aécio fazer é falar mal da presidente dilma|
|Tue Dec 23 13:52:58 +0000 2014|;|0|;|URL via AT_USER quebraram o brasil próximo passo leiloar a sucata|
|Tue Dec 23 13:27:49 +0000 2014|;|1|;|rt AT_USER “dilma ganhou as eleições não salvo-conduto para continuar fazendo o que fez” diz AT_USER URL|
|Tue Dec 23 13:27:09 +0000 2014|;|1|;|“dilma ganhou as eleições não salvo-conduto para continuar fazendo o que fez” diz AT_USER URL|
|Tue Dec 23 12:06:46 +0000 2014|;|2|;|rt AT_USER dilma percebeu que a mídia interferiu nas eleições diz laurindo leal - portal vermelho URL|
|Tue Dec 23 10:46:59 +0000 2014|;|0|;|toda a imprensa brasileira fazendo de conta que acredita que lula e dilma não sabiam de nada e que as eleições foram honestas até qdo |
|Tue Dec 23 09:08:21 +0000 2014|;|0|;|AT_USER AT_USER aécio tem medo do povo e por isso não quer q opinemos sobre ref pol URL|
|Tue Dec 23 08:20:01 +0000 2014|;|0|;|bom dia petralhas aumento dos juros do combustível levy e agora abertura do capital da cef foi a dilma que ganhou as eleições kk|
|Tue Dec 23 04:43:58 +0000 2014|;|0|;|naqueles manifestos das eleições pró dilma 20 assinaturas da unicamp 0 da puc-rio contra dilma 5 da unicamp 14 da puc-rio|
|Tue Dec 23 04:31:31 +0000 2014|;|0|;|tão querendo processar a página dilma emparedada igual eu aqui no twitter no mês das eleições hashashash|
|Tue Dec 23 04:21:33 +0000 2014|;|0|;|AT_USER barbosa critica dilma por consultar mp sobre futuros rt criticar agora é fácil omitiu-se nas vc eleições esse medroso|
|Tue Dec 23 03:29:33 +0000 2014|;|13|;|rt AT_USER AT_USER &lt&lt&lt perfil oficial do joaquim barbosa fazendo criticas a dilma deveria ter feito isso nas eleições c…|
|Tue Dec 23 03:01:40 +0000 2014|;|0|;|AT_USER não sei blogueira e dilma deve ser as eleições super ale pelas pau no cuzices que ele posta deu em mim e nos meus migos|
|Tue Dec 23 02:58:47 +0000 2014|;|0|;|comem ovo como a dilma de vcs mandou nas eleições aff jornaldaglobo|
|Tue Dec 23 02:57:42 +0000 2014|;|1|;|rt AT_USER AT_USER pessoaltivesse todo povo brasileiro votado no aécio e mesmo assim a dilma venceriaeleições foram fraudadas s…|
|Tue Dec 23 02:55:52 +0000 2014|;|1|;|AT_USER pessoaltivesse todo povo brasileiro votado no aécio e mesmo assim a dilma venceriaeleições foram fraudadas smartmatictófolli|
|Tue Dec 23 02:55:30 +0000 2014|;|0|;|tipo to vendo retrospectiva 2014 aí falou que a dilma ganhou as eleições comecei chorar lembrando disso|
|Tue Dec 23 02:53:00 +0000 2014|;|0|;|AT_USER o discurso de dilma e aécio nas eleições são muito mais verdadeiros que esse seu sorriso|
|Tue Dec 23 01:31:21 +0000 2014|;|0|;|inversamente proporcional a votação da dilma nas eleições URL|
|Tue Dec 23 01:17:47 +0000 2014|;|3|;|rt AT_USER dilma admite plebiscito ou referendo para reforma política URL|
