|Mon Jan 19 17:56:43 +0000 2015|;|13|;|rt AT_USER com a minha nota só da pra se escrever em curso que não quero sisu|
|Mon Jan 19 17:56:31 +0000 2015|;|0|;|AT_USER tu entrou pra direito pelo sisu|
|Mon Jan 19 17:56:30 +0000 2015|;|0|;|gente que tirou 400 e pouco no enem querendo se increver no sisu agsuahsa rindo eternamente vai conseguir pra trabalhar no bobs e com cota|
|Mon Jan 19 17:56:29 +0000 2015|;|69|;|rt AT_USER me inscrevi no sisu mas se eu tivesse me inscrito no bb 2015 teria mais futuro|
|Mon Jan 19 17:56:26 +0000 2015|;|0|;|dá até uma saudade quando eu vejo esse povo agoniado com o sisu não pera|
|Mon Jan 19 17:56:25 +0000 2015|;|8|;|rt AT_USER começam hoje as inscrições para o sisu já sabe como a nota do enem é usada no sistema confira em URL|
|Mon Jan 19 17:56:20 +0000 2015|;|0|;|o que por na segunda opção do sisu n achei gari e vcs|
|Mon Jan 19 17:56:20 +0000 2015|;|0|;|incrições abertas os participantes do enem têm até a próxima quinta para se inscrever no sisu são mais de 205 URL|
|Mon Jan 19 17:56:18 +0000 2015|;|0|;|okay sisu me traga uma boa surpresa|
|Mon Jan 19 17:56:14 +0000 2015|;|0|;|sisu opção 1 curso opção 2 curso ss6 brasil confirma ss6 brasil|
|Mon Jan 19 17:56:08 +0000 2015|;|0|;|AT_USER sim se eu não tivesse que pensar no dinheiro tbm faria artes visuais haha mas seila vamos ver o que o sisu me diz|
|Mon Jan 19 17:56:06 +0000 2015|;|32|;|rt AT_USER procuro vaga no sisu para amizade sincera e verdadeira sisumedeixaentrar|
|Mon Jan 19 17:56:01 +0000 2015|;|62|;|rt AT_USER as inscrições para a primeira edição de 2015 do sisu estão abertas URL URL|
|Mon Jan 19 17:55:58 +0000 2015|;|0|;|e hoje começa mais uma sisu tour sos|
|Mon Jan 19 17:55:55 +0000 2015|;|0|;|gente e o medo de colocar uma faculdade no sisu e passar em outra que nao coloquei|
|Mon Jan 19 17:55:48 +0000 2015|;|0|;|galera do sisu alguém vai pôr em campo grande ai|
|Mon Jan 19 17:55:41 +0000 2015|;|65|;|rt AT_USER 1ª opção de curso revendedor avon 2ª opção de curso revendedor jequiti sisu|
|Mon Jan 19 17:55:37 +0000 2015|;|2|;|rt AT_USER AT_USER até a mariquinha me deixa entrar e o sisu não sisumedeixaentrar|
|Mon Jan 19 17:55:37 +0000 2015|;|7|;|rt AT_USER já consultei cursos até no iraque se brincar sisu|
|Mon Jan 19 17:55:34 +0000 2015|;|1|;|rt AT_USER obrigada sisu URL|
|Mon Jan 19 17:55:25 +0000 2015|;|1070|;|rt AT_USER começou as inscrições do sisu URL|
|Mon Jan 19 17:55:23 +0000 2015|;|30|;|rt AT_USER se soubesse que o sisu era tão importante não teria arrancado os quatro|
|Mon Jan 19 17:55:14 +0000 2015|;|0|;|abre tudo no site do sisu menos o pesquisar vagas|
|Mon Jan 19 17:55:13 +0000 2015|;|0|;|só queria acessar o site do sisu nada mais que isso|
|Mon Jan 19 17:55:11 +0000 2015|;|0|;|entrei no twitter pra ver a galera reclamando do sisu|
|Mon Jan 19 17:55:05 +0000 2015|;|9|;|rt AT_USER AT_USER sisu te prometo casa comida e roupa lavada só me deixa entrar sisumedeixaentrar|
|Mon Jan 19 17:55:02 +0000 2015|;|0|;|estão abertas as inscrições para as 205 mil vagas do sisu 2015 40% das vagas são destinadas a estudantes de URL|
|Mon Jan 19 17:55:02 +0000 2015|;|9|;|rt AT_USER minha vaga minha vaga ninguém entra miinha vaga juliana você viu minha vaga minha vaga sisu sisumedeixaentrar|
|Mon Jan 19 17:54:57 +0000 2015|;|15|;|rt AT_USER sisumedeixaentrar ja pensou o sisu deixa eu entrar mesmo ai eu tenho que estudar esse ano que horrivel|
|Mon Jan 19 17:54:50 +0000 2015|;|0|;|entrei no sisu e to meio °°|
|Mon Jan 19 17:54:49 +0000 2015|;|0|;|me escrevi no sisu pra engenharia e medicina|
|Mon Jan 19 17:54:49 +0000 2015|;|0|;|tenho que me inscrever no sisu|
|Mon Jan 19 17:54:48 +0000 2015|;|0|;|vcs são a katy perry o sisu é o grammy|
|Mon Jan 19 17:54:38 +0000 2015|;|0|;|geral doido pelo sisu e eu doida pro início das aulas da facul serem adiadas sou um mal exemplo|
|Mon Jan 19 17:54:35 +0000 2015|;|19|;|rt AT_USER “não confunda o amor com a paixão o amor provém de deus é manso sincero inteligente e responsável -” — caio dantas…|
|Mon Jan 19 17:54:32 +0000 2015|;|15|;|rt AT_USER “melhor é o homem paciente do que o guerreiro mais vale controlar o seu espírito do que conquistar uma cidade” — prov…|
|Mon Jan 19 17:54:30 +0000 2015|;|0|;|fui fazer a inscrição no sisu a energia acabou na hora em que abri o site isso só pode ser algum sinal|
|Mon Jan 19 17:54:26 +0000 2015|;|45|;|rt AT_USER eu olhando o site quando sair as notas de corte sisu sisumedeixaentrar URL|
|Mon Jan 19 17:54:24 +0000 2015|;|0|;|isso acabou de me lembrar do sisu|
|Mon Jan 19 17:54:22 +0000 2015|;|0|;|pronto inscrição do sisu feita com sucesso seja o que deus quiser 😂 com minha nota acho que vai da só pra letras-ingles e pedagogia|
|Mon Jan 19 17:54:17 +0000 2015|;|0|;|AT_USER entendi então somos veteranos no sisu|
